wo_number,equipment_id,equipment_type,wo_type,status,created_date,scheduled_date,completed_date,assigned_technician,downtime_hours,labor_hours,part_number,priority,description
WO-25471,M-019,Mixer,Preventive,Open,2025-08-18,2025-08-22,,David Kim,0.0,,,Low,Monthly calibration check
WO-25734,B-028,Boiler,Corrective,Open,2025-08-18,2025-08-23,,Mike Thompson,17.3,,,Medium,Belt tracking issue - alignment needed
WO-24213,B-044,Boiler,Corrective,Completed,2025-08-18,2025-08-19,2025-08-22,Mike Thompson,0.0,2.5,,Critical,Hydraulic cylinder failure - production down
WO-25649,HP-062,Hydraulic Press,Preventive,Scheduled,2025-08-18,2025-08-21,,Robert Johnson,0.0,,FIL-139,Medium,Routine maintenance and inspection
WO-24751,CP-042,Centrifugal Pump,Scheduled Inspection,Completed,2025-08-18,2025-08-22,2025-08-25,David Kim,0.0,1.4,,High,Motor overheating - thermal relay replaced
WO-24864,CP-057,Centrifugal Pump,Preventive,Completed,2025-08-18,2025-08-21,2025-08-24,David Kim,0.0,3.8,,Low,Quarterly maintenance cycle
WO-24817,C-053,Chiller,Preventive,Completed,2025-08-18,2025-08-20,2025-08-22,Robert Johnson,0.0,4.2,,Medium,Quarterly PM - filters and oil change
WO-24384,CP-008,Centrifugal Pump,Corrective,Completed,2025-08-18,2025-08-21,2025-08-22,Emily Davis,5.2,10.9,VAL-712,Medium,Hydraulic cylinder failure - production down
WO-24972,ST-033,Storage Tank,Scheduled Inspection,Cancelled,2025-08-18,2025-08-20,,Emily Davis,0.0,,,Low,Main drive bearing failure - emergency repair
WO-25110,C-080,Chiller,Preventive,Completed,2025-08-18,2025-08-22,2025-08-22,Emily Davis,0.0,1.5,,Low,Monthly calibration check
WO-24467,CP-086,Centrifugal Pump,Corrective,Completed,2025-08-18,2025-08-22,2025-08-25,Jennifer Lee,8.5,13.1,IMP-583,High,Hydraulic cylinder failure - production down
WO-24860,C-053,Chiller,Corrective,Completed,2025-08-17,2025-08-22,2025-08-23,Emily Davis,0.0,3.6,COI-232,Medium,Hydraulic cylinder failure - production down
WO-25346,HP-100,Hydraulic Pump,Corrective,Completed,2025-08-17,2025-08-19,2025-08-21,Lisa Anderson,5.7,11.4,SEA-648,Medium,Motor overheating - thermal relay replaced
WO-24378,HS-021,HVAC System,Preventive,Completed,2025-08-17,2025-08-19,2025-08-20,Emily Davis,0.0,1.3,,Low,Weekly lubrication and inspection
WO-24073,C-037,Chiller,Corrective,Completed,2025-08-17,2025-08-22,2025-08-24,James Wilson,2.6,7.9,,Low,Pressure relief valve replacement
WO-25583,CB-067,Conveyor Belt,Preventive,Completed,2025-08-17,2025-08-20,2025-08-21,Robert Johnson,0.0,4.6,PUM-317,Medium,Quarterly maintenance cycle
WO-24381,C-037,Chiller,Preventive,Completed,2025-08-16,2025-08-19,2025-08-19,Jennifer Lee,0.0,3.7,BEA-825,Medium,Monthly filter replacement
WO-25431,RA-072,Robotic Arm,Preventive,Completed,2025-08-16,2025-08-19,2025-08-21,James Wilson,0.0,4.6,THE-729,Low,Monthly calibration check
WO-24021,CP-057,Centrifugal Pump,Corrective,Completed,2025-08-16,2025-08-21,2025-08-22,James Wilson,0.0,5.0,,Medium,Motor overheating - thermal relay replaced
WO-25453,CP-011,Centrifugal Pump,Corrective,Completed,2025-08-16,2025-08-21,2025-08-22,John Martinez,16.8,26.8,,Low,Main drive bearing failure - emergency repair
WO-24608,CB-079,Conveyor Belt,Preventive,In Progress,2025-08-16,2025-08-18,,Mike Thompson,0.0,,,Critical,Monthly filter replacement
WO-24907,HS-024,HVAC System,Emergency,Completed,2025-08-16,2025-08-18,2025-08-19,Mike Thompson,9.6,16.7,,High,Pressure relief valve replacement
WO-25117,C-065,Chiller,Preventive,Completed,2025-08-15,2025-08-17,2025-08-20,Jennifer Lee,0.0,4.0,FAN-367,Medium,Routine maintenance and inspection
WO-25689,HS-058,HVAC System,Corrective,Completed,2025-08-15,2025-08-19,2025-08-22,Mike Thompson,17.7,24.4,,Low,Bearing seizure - replacement required
WO-25765,CP-086,Centrifugal Pump,Corrective,Scheduled,2025-08-15,2025-08-17,,Mike Thompson,0.0,,IMP-195,High,Replace mechanical seal - excessive leaking
WO-25573,B-055,Boiler,Preventive,Completed,2025-08-15,2025-08-18,2025-08-20,Jennifer Lee,0.0,1.8,,High,Quarterly PM - filters and oil change
WO-25780,RA-074,Robotic Arm,Emergency,Completed,2025-08-15,2025-08-20,2025-08-23,John Martinez,3.6,9.3,,High,Seal leaking - parts ordered
WO-24529,B-045,Blower,Scheduled Inspection,In Progress,2025-08-15,2025-08-16,,Jennifer Lee,0.0,,,Low,Main drive bearing failure - emergency repair
WO-25686,CP-042,Centrifugal Pump,Corrective,Completed,2025-08-15,2025-08-19,2025-08-21,Maria Garcia,18.8,26.5,,Medium,Bearing seizure - replacement required
WO-24226,HS-071,HVAC System,Scheduled Inspection,Completed,2025-08-14,2025-08-16,2025-08-16,Maria Garcia,0.0,2.8,,Low,Motor overheating - thermal relay replaced
WO-24745,B-077,Boiler,Corrective,In Progress,2025-08-14,2025-08-17,,Robert Johnson,2.2,,IMP-481,Medium,Unloader valve failure - compressor cycling
WO-24956,B-044,Boiler,Corrective,Completed,2025-08-14,2025-08-17,2025-08-20,David Kim,0.0,3.2,,High,Unloader valve failure - compressor cycling
WO-25303,CT-082,Cooling Tower,Preventive,Completed,2025-08-14,2025-08-16,2025-08-19,David Kim,0.0,2.3,,High,Quarterly maintenance cycle
WO-24330,CB-067,Conveyor Belt,Corrective,In Progress,2025-08-14,2025-08-18,,David Kim,13.0,,PUM-612,Medium,Unloader valve failure - compressor cycling
WO-24940,AC-096,Air Compressor,Corrective,Open,2025-08-14,2025-08-18,,David Kim,17.9,,,Medium,Belt tracking issue - alignment needed
WO-24694,C-081,Crane,Preventive,Completed,2025-08-14,2025-08-16,2025-08-17,Jennifer Lee,0.0,2.2,,Medium,Quarterly maintenance cycle
WO-24490,B-064,Boiler,Corrective,Completed,2025-08-14,2025-08-17,2025-08-17,David Kim,17.9,25.8,COI-906,Low,Seal leaking - parts ordered
WO-25305,HP-062,Hydraulic Press,Scheduled Inspection,Completed,2025-08-14,2025-08-17,2025-08-18,Robert Johnson,0.0,3.6,,Medium,Pressure relief valve replacement
WO-24387,B-038,Boiler,Preventive,Completed,2025-08-14,2025-08-18,2025-08-20,Emily Davis,0.0,3.7,SEA-268,Medium,Quarterly maintenance cycle
WO-24116,G-020,Gearbox,Preventive,Open,2025-08-14,2025-08-17,,Robert Johnson,0.0,,,High,Annual inspection and coating check
WO-24472,ST-033,Storage Tank,Preventive,In Progress,2025-08-14,2025-08-17,,Robert Johnson,0.0,,SER-164,Low,Monthly filter replacement
WO-25040,RA-093,Robotic Arm,Preventive,Completed,2025-08-14,2025-08-17,2025-08-17,Emily Davis,0.0,1.4,COM-548,Medium,Quarterly PM - filters and oil change
WO-25732,C-027,Chiller,Preventive,Completed,2025-08-13,2025-08-16,2025-08-18,Maria Garcia,0.0,4.1,,High,Weekly lubrication and inspection
WO-24395,RA-060,Robotic Arm,Preventive,Completed,2025-08-13,2025-08-14,2025-08-15,John Martinez,0.0,3.7,SEA-113,High,Monthly calibration check
WO-24434,B-038,Boiler,Corrective,Completed,2025-08-13,2025-08-14,2025-08-16,Sarah Chen,1.1,2.9,,High,Belt tracking issue - alignment needed
WO-25739,F-040,Forklift,Preventive,Scheduled,2025-08-13,2025-08-17,,Jennifer Lee,0.0,,FAN-140,Medium,Monthly calibration check
WO-24005,HS-022,HVAC System,Scheduled Inspection,Completed,2025-08-13,2025-08-18,2025-08-18,Mike Thompson,0.0,2.0,,Low,Bearing seizure - replacement required
WO-25762,CP-049,Centrifugal Pump,Corrective,Completed,2025-08-13,2025-08-16,2025-08-19,Sarah Chen,0.0,3.0,,Medium,Unloader valve failure - compressor cycling
WO-25358,RA-072,Robotic Arm,Corrective,In Progress,2025-08-13,2025-08-15,,John Martinez,14.1,,MOT-284,High,Multiple seal failures - contamination issue
WO-24070,B-073,Blower,Preventive,Open,2025-08-13,2025-08-15,,Maria Garcia,0.0,,,High,Quarterly maintenance cycle
WO-25698,HP-029,Hydraulic Press,Preventive,Completed,2025-08-13,2025-08-15,2025-08-18,Robert Johnson,0.0,2.6,,Critical,Quarterly PM - filters and oil change
WO-25159,B-025,Boiler,Corrective,Completed,2025-08-13,2025-08-15,2025-08-16,James Wilson,0.0,4.8,MOT-851,High,Motor overheating - thermal relay replaced
WO-24690,HP-029,Hydraulic Press,Preventive,Open,2025-08-13,2025-08-18,,Maria Garcia,0.0,,,Medium,Routine maintenance and inspection
WO-24686,F-039,Forklift,Corrective,Completed,2025-08-13,2025-08-18,2025-08-19,Emily Davis,9.0,14.0,SEA-601,Critical,Main drive bearing failure - emergency repair
WO-24072,B-077,Boiler,Preventive,Completed,2025-08-13,2025-08-14,2025-08-14,Jennifer Lee,0.0,3.7,FAN-311,Medium,Monthly calibration check
WO-25103,HS-024,HVAC System,Corrective,In Progress,2025-08-13,2025-08-17,,Emily Davis,0.0,,THE-541,Medium,Belt tracking issue - alignment needed
WO-24555,B-044,Boiler,Preventive,Completed,2025-08-13,2025-08-17,2025-08-17,Emily Davis,0.0,2.9,,High,Routine maintenance and inspection
WO-25721,F-034,Forklift,Corrective,Completed,2025-08-13,2025-08-17,2025-08-19,Sarah Chen,0.0,4.1,,Low,Replace mechanical seal - excessive leaking
WO-24329,HS-022,HVAC System,Corrective,Completed,2025-08-13,2025-08-18,2025-08-21,James Wilson,0.0,4.2,THE-974,Low,Motor overheating - thermal relay replaced
WO-24339,C-080,Chiller,Preventive,Completed,2025-08-13,2025-08-15,2025-08-18,Sarah Chen,0.0,3.3,,High,Monthly filter replacement
WO-25718,M-059,Mixer,Preventive,Completed,2025-08-12,2025-08-17,2025-08-20,Emily Davis,0.0,4.3,,Medium,Annual inspection and coating check
WO-24314,M-019,Mixer,Emergency,Completed,2025-08-12,2025-08-15,2025-08-17,James Wilson,17.9,28.1,,Medium,Motor overheating - thermal relay replaced
WO-25578,CB-091,Conveyor Belt,Corrective,Scheduled,2025-08-12,2025-08-16,,Mike Thompson,17.7,,,Medium,Motor overheating - thermal relay replaced
WO-24468,M-059,Mixer,Corrective,Completed,2025-08-12,2025-08-15,2025-08-18,Sarah Chen,5.3,11.7,SEA-298,High,Belt tracking issue - alignment needed
WO-25671,CP-066,Centrifugal Pump,Corrective,Completed,2025-08-12,2025-08-15,2025-08-18,Robert Johnson,3.8,7.9,,High,Hydraulic cylinder failure - production down
WO-25599,G-092,Gearbox,Preventive,Completed,2025-08-12,2025-08-13,2025-08-15,Emily Davis,0.0,4.7,SER-164,Critical,Annual inspection and coating check
WO-24792,M-061,Mixer,Preventive,Completed,2025-08-11,2025-08-16,2025-08-16,James Wilson,0.0,1.2,,Medium,Quarterly PM - filters and oil change
WO-24090,CP-087,Centrifugal Pump,Corrective,Completed,2025-08-11,2025-08-13,2025-08-15,Sarah Chen,0.0,3.7,CYL-687,Low,Seal leaking - parts ordered
WO-24409,M-061,Mixer,Preventive,Completed,2025-08-11,2025-08-12,2025-08-12,Robert Johnson,0.0,3.0,,High,Quarterly maintenance cycle
WO-25660,C-097,Crane,Preventive,Completed,2025-08-11,2025-08-14,2025-08-15,Sarah Chen,0.0,1.8,,Medium,Weekly lubrication and inspection
WO-25485,B-044,Boiler,Corrective,Completed,2025-08-11,2025-08-12,2025-08-15,James Wilson,4.7,10.9,ENC-338,Medium,Belt tracking issue - alignment needed
WO-24835,C-027,Chiller,Corrective,Open,2025-08-11,2025-08-13,,Emily Davis,13.3,,COM-908,High,Multiple seal failures - contamination issue
WO-25235,RA-060,Robotic Arm,Preventive,Completed,2025-08-11,2025-08-15,2025-08-16,Emily Davis,0.0,2.9,BEL-203,Low,Monthly calibration check
WO-24815,B-038,Boiler,Preventive,Open,2025-08-11,2025-08-13,,Sarah Chen,0.0,,,Low,Weekly lubrication and inspection
WO-25505,CP-049,Centrifugal Pump,Preventive,Completed,2025-08-11,2025-08-12,2025-08-14,John Martinez,0.0,4.8,,Medium,Monthly filter replacement
WO-24476,B-070,Boiler,Preventive,Open,2025-08-11,2025-08-12,,Jennifer Lee,0.0,,,Medium,Routine maintenance and inspection
WO-24074,HS-022,HVAC System,Corrective,Completed,2025-08-11,2025-08-12,2025-08-15,John Martinez,0.0,3.9,,High,Hydraulic cylinder failure - production down
WO-24635,CT-031,Cooling Tower,Preventive,In Progress,2025-08-11,2025-08-14,,James Wilson,0.0,,COM-792,Medium,Quarterly PM - filters and oil change
WO-24471,M-059,Mixer,Corrective,Completed,2025-08-10,2025-08-12,2025-08-15,Lisa Anderson,11.7,19.8,COI-628,Critical,Main drive bearing failure - emergency repair
WO-24904,ST-033,Storage Tank,Preventive,Completed,2025-08-10,2025-08-13,2025-08-13,John Martinez,0.0,2.7,,Medium,Quarterly PM - filters and oil change
WO-24619,CP-054,Centrifugal Pump,Corrective,Scheduled,2025-08-10,2025-08-15,,Lisa Anderson,1.6,,,Medium,Hydraulic cylinder failure - production down
WO-24742,M-019,Mixer,Corrective,Completed,2025-08-10,2025-08-11,2025-08-14,Robert Johnson,1.9,6.6,COM-894,Medium,Pressure relief valve replacement
WO-24131,RA-072,Robotic Arm,Corrective,Scheduled,2025-08-10,2025-08-15,,Jennifer Lee,1.6,,,Medium,Pressure relief valve replacement
WO-24885,F-095,Forklift,Corrective,Completed,2025-08-10,2025-08-11,2025-08-14,Robert Johnson,4.6,7.6,,Low,Bearing seizure - replacement required
WO-25119,M-030,Mixer,Corrective,Completed,2025-08-10,2025-08-11,2025-08-14,Emily Davis,0.0,1.2,,High,Motor overheating - thermal relay replaced
WO-24890,G-047,Gearbox,Preventive,Completed,2025-08-10,2025-08-14,2025-08-14,David Kim,0.0,1.1,,Medium,Annual inspection and coating check
WO-24805,CB-017,Conveyor Belt,Corrective,In Progress,2025-08-09,2025-08-12,,Mike Thompson,0.0,,ENC-301,Medium,Seal leaking - parts ordered
WO-24875,CP-042,Centrifugal Pump,Preventive,Completed,2025-08-09,2025-08-10,2025-08-13,Maria Garcia,0.0,3.3,,Low,Routine maintenance and inspection
WO-25062,CT-031,Cooling Tower,Corrective,Completed,2025-08-09,2025-08-11,2025-08-13,Sarah Chen,0.0,1.1,COI-596,High,Unloader valve failure - compressor cycling
WO-25429,CB-017,Conveyor Belt,Preventive,Completed,2025-08-09,2025-08-13,2025-08-16,David Kim,0.0,1.1,,Medium,Annual inspection and coating check
WO-24755,C-037,Chiller,Corrective,Completed,2025-08-09,2025-08-10,2025-08-10,Emily Davis,1.4,6.8,BEL-412,Low,Belt tracking issue - alignment needed
WO-24859,CB-067,Conveyor Belt,Preventive,Open,2025-08-09,2025-08-11,,Emily Davis,0.0,,,Low,Weekly lubrication and inspection
WO-25353,RA-072,Robotic Arm,Scheduled Inspection,Open,2025-08-09,2025-08-11,,David Kim,0.0,,,Medium,Motor overheating - thermal relay replaced
WO-25186,G-023,Gearbox,Preventive,Scheduled,2025-08-09,2025-08-13,,Emily Davis,0.0,,HOS-826,High,Annual inspection and coating check
WO-25130,M-041,Mixer,Corrective,Completed,2025-08-09,2025-08-13,2025-08-13,John Martinez,4.1,8.8,SER-426,Medium,Main drive bearing failure - emergency repair
WO-24194,M-061,Mixer,Scheduled Inspection,Completed,2025-08-08,2025-08-09,2025-08-10,Emily Davis,0.0,2.4,,Medium,Motor overheating - thermal relay replaced
WO-24370,F-095,Forklift,Preventive,Scheduled,2025-08-08,2025-08-09,,Jennifer Lee,0.0,,,Low,Quarterly maintenance cycle
WO-24077,F-095,Forklift,Corrective,Completed,2025-08-08,2025-08-11,2025-08-14,Lisa Anderson,3.7,7.2,,High,Bearing seizure - replacement required
WO-25676,C-037,Chiller,Corrective,Completed,2025-08-08,2025-08-10,2025-08-12,James Wilson,3.1,5.8,,Low,Unloader valve failure - compressor cycling
WO-24254,B-055,Boiler,Preventive,Completed,2025-08-08,2025-08-10,2025-08-13,Lisa Anderson,0.0,1.6,,Low,Quarterly PM - filters and oil change
WO-25770,RA-060,Robotic Arm,Corrective,Open,2025-08-08,2025-08-10,,Sarah Chen,17.4,,VAL-774,High,Pressure relief valve replacement
WO-24156,B-077,Boiler,Corrective,Completed,2025-08-08,2025-08-13,2025-08-14,Emily Davis,7.0,12.7,,High,Motor overheating - thermal relay replaced
WO-24716,EM-078,Electric Motor,Preventive,Scheduled,2025-08-08,2025-08-13,,James Wilson,0.0,,BEL-427,High,Routine maintenance and inspection
WO-25132,EM-056,Electric Motor,Preventive,Completed,2025-08-08,2025-08-13,2025-08-14,Lisa Anderson,0.0,2.8,,Low,Quarterly PM - filters and oil change
WO-24984,HS-024,HVAC System,Corrective,In Progress,2025-08-08,2025-08-10,,Mike Thompson,0.0,,VAL-615,Critical,Belt tracking issue - alignment needed
WO-24987,CP-066,Centrifugal Pump,Corrective,Scheduled,2025-08-08,2025-08-09,,Maria Garcia,0.0,,,Medium,Seal leaking - parts ordered
WO-25500,ST-018,Storage Tank,Corrective,Completed,2025-08-08,2025-08-09,2025-08-11,Mike Thompson,0.0,3.2,,Medium,Pressure relief valve replacement
WO-25264,B-025,Boiler,Preventive,Completed,2025-08-08,2025-08-13,2025-08-13,Maria Garcia,0.0,1.0,,Medium,Routine maintenance and inspection
WO-24551,CT-026,Cooling Tower,Scheduled Inspection,Completed,2025-08-07,2025-08-10,2025-08-11,Robert Johnson,0.0,3.8,,High,Motor overheating - thermal relay replaced
WO-25673,C-037,Chiller,Corrective,Completed,2025-08-07,2025-08-09,2025-08-11,John Martinez,3.6,9.1,THE-717,Critical,Motor overheating - thermal relay replaced
WO-24816,C-027,Chiller,Corrective,Completed,2025-08-07,2025-08-10,2025-08-10,David Kim,3.2,7.2,ENC-801,High,Bearing seizure - replacement required
WO-25782,B-044,Boiler,Corrective,Open,2025-08-07,2025-08-08,,Jennifer Lee,17.0,,ENC-262,Low,Replace mechanical seal - excessive leaking
WO-24803,RA-050,Robotic Arm,Corrective,Completed,2025-08-07,2025-08-08,2025-08-10,John Martinez,6.2,11.7,,Medium,Multiple seal failures - contamination issue
WO-24165,CP-008,Centrifugal Pump,Preventive,In Progress,2025-08-07,2025-08-10,,David Kim,0.0,,SEA-789,Low,Monthly filter replacement
WO-24229,HS-022,HVAC System,Corrective,Completed,2025-08-07,2025-08-11,2025-08-11,Emily Davis,9.3,15.4,VAL-546,Low,Main drive bearing failure - emergency repair
WO-24865,G-020,Gearbox,Preventive,Completed,2025-08-07,2025-08-12,2025-08-15,Emily Davis,0.0,3.9,,Low,Quarterly PM - filters and oil change
WO-24269,F-035,Forklift,Corrective,Completed,2025-08-07,2025-08-11,2025-08-12,Mike Thompson,18.4,25.9,,Low,Hydraulic cylinder failure - production down
WO-25779,RA-074,Robotic Arm,Preventive,Completed,2025-08-06,2025-08-07,2025-08-07,David Kim,0.0,3.2,,Medium,Monthly calibration check
WO-24905,C-053,Chiller,Corrective,Completed,2025-08-06,2025-08-11,2025-08-13,Sarah Chen,17.6,27.0,FAN-750,High,Motor overheating - thermal relay replaced
WO-25085,B-070,Boiler,Corrective,Completed,2025-08-06,2025-08-11,2025-08-14,Maria Garcia,11.1,19.0,VAL-581,Critical,Replace mechanical seal - excessive leaking
WO-25537,B-077,Boiler,Preventive,Completed,2025-08-06,2025-08-10,2025-08-11,Mike Thompson,0.0,1.5,,Low,Weekly lubrication and inspection
WO-25457,CP-057,Centrifugal Pump,Preventive,Completed,2025-08-06,2025-08-10,2025-08-13,Mike Thompson,0.0,1.8,,Medium,Monthly calibration check
WO-24025,B-016,Blower,Corrective,Completed,2025-08-06,2025-08-11,2025-08-13,Mike Thompson,16.5,23.4,,Critical,Hydraulic cylinder failure - production down
WO-25184,CT-013,Cooling Tower,Preventive,Completed,2025-08-06,2025-08-09,2025-08-12,John Martinez,0.0,2.5,SEA-328,Low,Quarterly maintenance cycle
WO-25027,CT-031,Cooling Tower,Scheduled Inspection,Completed,2025-08-06,2025-08-10,2025-08-10,John Martinez,0.0,2.6,,Medium,Hydraulic cylinder failure - production down
WO-24223,AC-014,Air Compressor,Preventive,Completed,2025-08-06,2025-08-07,2025-08-10,Lisa Anderson,0.0,3.7,,Low,Quarterly maintenance cycle
WO-25014,CT-089,Cooling Tower,Corrective,Completed,2025-08-06,2025-08-08,2025-08-09,Jennifer Lee,19.5,27.7,MOT-899,Low,Hydraulic cylinder failure - production down
WO-24390,C-090,Crane,Preventive,Completed,2025-08-06,2025-08-10,2025-08-12,Robert Johnson,0.0,3.5,COI-259,Low,Quarterly maintenance cycle
WO-24511,F-035,Forklift,Emergency,Completed,2025-08-05,2025-08-08,2025-08-11,Maria Garcia,0.0,2.8,,High,Seal leaking - parts ordered
WO-25336,AC-036,Air Compressor,Corrective,Completed,2025-08-05,2025-08-06,2025-08-06,Robert Johnson,2.3,5.9,,Medium,Seal leaking - parts ordered
WO-24513,CP-015,Centrifugal Pump,Corrective,In Progress,2025-08-05,2025-08-07,,Emily Davis,0.0,,,High,Motor overheating - thermal relay replaced
WO-25348,AC-014,Air Compressor,Corrective,Cancelled,2025-08-05,2025-08-10,,John Martinez,14.7,,,Medium,Pressure relief valve replacement
WO-25723,CT-089,Cooling Tower,Corrective,Completed,2025-08-05,2025-08-09,2025-08-11,David Kim,15.3,22.2,FIL-495,High,Belt tracking issue - alignment needed
WO-25052,B-055,Boiler,Scheduled Inspection,Scheduled,2025-08-05,2025-08-08,,Robert Johnson,0.0,,,Low,Main drive bearing failure - emergency repair
WO-25115,HS-021,HVAC System,Preventive,Completed,2025-08-05,2025-08-07,2025-08-10,Maria Garcia,0.0,2.2,,Medium,Quarterly PM - filters and oil change
WO-25097,EM-078,Electric Motor,Preventive,Open,2025-08-05,2025-08-09,,Lisa Anderson,0.0,,,Low,Quarterly maintenance cycle
WO-24734,RA-050,Robotic Arm,Corrective,Completed,2025-08-04,2025-08-06,2025-08-09,Lisa Anderson,0.0,1.4,CYL-734,Medium,Seal leaking - parts ordered
WO-24087,B-055,Boiler,Preventive,Completed,2025-08-04,2025-08-08,2025-08-08,Mike Thompson,0.0,1.6,,Medium,Routine maintenance and inspection
WO-25736,HP-029,Hydraulic Press,Preventive,Cancelled,2025-08-04,2025-08-06,,Robert Johnson,0.0,,,Medium,Quarterly maintenance cycle
WO-24496,HP-062,Hydraulic Press,Preventive,Open,2025-08-04,2025-08-09,,Sarah Chen,0.0,,,Medium,Monthly filter replacement
WO-25789,RA-060,Robotic Arm,Preventive,Completed,2025-08-04,2025-08-09,2025-08-11,Mike Thompson,0.0,2.9,,Medium,Annual inspection and coating check
WO-25569,RA-093,Robotic Arm,Preventive,Completed,2025-08-04,2025-08-05,2025-08-07,John Martinez,0.0,1.3,FAN-808,Medium,Weekly lubrication and inspection
WO-24404,F-095,Forklift,Emergency,Completed,2025-08-04,2025-08-06,2025-08-08,Maria Garcia,10.3,15.1,,Medium,Unloader valve failure - compressor cycling
WO-24375,F-035,Forklift,Preventive,Completed,2025-08-04,2025-08-05,2025-08-05,Sarah Chen,0.0,1.6,,Medium,Quarterly maintenance cycle
WO-24071,RA-094,Robotic Arm,Corrective,Scheduled,2025-08-03,2025-08-06,,John Martinez,0.0,,SEA-188,High,Unloader valve failure - compressor cycling
WO-25293,HS-058,HVAC System,Preventive,Completed,2025-08-03,2025-08-04,2025-08-06,Robert Johnson,0.0,5.0,,High,Monthly calibration check
WO-24008,CT-082,Cooling Tower,Preventive,Completed,2025-08-03,2025-08-05,2025-08-06,Mike Thompson,0.0,4.9,,Medium,Routine maintenance and inspection
WO-24740,RA-072,Robotic Arm,Preventive,Open,2025-08-03,2025-08-07,,Lisa Anderson,0.0,,,Medium,Monthly filter replacement
WO-24076,C-046,Crane,Preventive,Completed,2025-08-03,2025-08-06,2025-08-09,Sarah Chen,0.0,3.9,COI-594,Medium,Annual inspection and coating check
WO-24274,ST-033,Storage Tank,Preventive,Completed,2025-08-03,2025-08-05,2025-08-05,Sarah Chen,0.0,2.4,CYL-191,Low,Monthly filter replacement
WO-25146,G-047,Gearbox,Corrective,In Progress,2025-08-03,2025-08-07,,Lisa Anderson,14.4,,FIL-879,Medium,Motor overheating - thermal relay replaced
WO-24164,CP-054,Centrifugal Pump,Corrective,Completed,2025-08-03,2025-08-05,2025-08-06,Sarah Chen,2.7,7.3,BEA-610,Medium,Belt tracking issue - alignment needed
WO-24977,RA-094,Robotic Arm,Scheduled Inspection,Completed,2025-08-03,2025-08-08,2025-08-11,Emily Davis,0.0,1.5,,Low,Belt tracking issue - alignment needed
WO-24917,RA-032,Robotic Arm,Corrective,Completed,2025-08-03,2025-08-06,2025-08-09,Robert Johnson,0.0,2.7,SER-802,High,Unloader valve failure - compressor cycling
WO-24993,G-020,Gearbox,Preventive,In Progress,2025-08-03,2025-08-04,,Maria Garcia,0.0,,,Low,Quarterly maintenance cycle
WO-25747,CP-042,Centrifugal Pump,Preventive,Completed,2025-08-02,2025-08-07,2025-08-07,Mike Thompson,0.0,1.9,,Medium,Quarterly PM - filters and oil change
WO-24960,AC-001,Air Compressor,Corrective,Open,2025-08-02,2025-08-06,,Maria Garcia,17.3,,FIL-323,Critical,Belt tracking issue - alignment needed
WO-25639,CT-031,Cooling Tower,Corrective,Completed,2025-08-02,2025-08-05,2025-08-05,Emily Davis,2.0,5.5,HOS-989,High,Seal leaking - parts ordered
WO-25092,G-023,Gearbox,Preventive,Completed,2025-08-02,2025-08-07,2025-08-10,James Wilson,0.0,2.7,,High,Routine maintenance and inspection
WO-25372,CP-008,Centrifugal Pump,Preventive,Completed,2025-08-02,2025-08-07,2025-08-07,James Wilson,0.0,3.2,,Low,Quarterly maintenance cycle
WO-24058,HP-010,Hydraulic Pump,Corrective,Open,2025-08-02,2025-08-03,,Maria Garcia,0.0,,,Medium,Motor overheating - thermal relay replaced
WO-24442,B-098,Blower,Preventive,Open,2025-08-02,2025-08-04,,Maria Garcia,0.0,,,Medium,Quarterly PM - filters and oil change
WO-24267,HS-058,HVAC System,Emergency,Completed,2025-08-02,2025-08-06,2025-08-09,Maria Garcia,19.6,28.0,,Low,Bearing seizure - replacement required
WO-25756,B-028,Boiler,Corrective,Completed,2025-08-02,2025-08-05,2025-08-05,Maria Garcia,15.5,23.9,VAL-626,High,Bearing seizure - replacement required
WO-24562,M-019,Mixer,Preventive,Completed,2025-08-02,2025-08-03,2025-08-04,John Martinez,0.0,4.0,,Medium,Monthly filter replacement
WO-25694,CP-011,Centrifugal Pump,Emergency,Completed,2025-08-02,2025-08-04,2025-08-07,Emily Davis,16.2,23.4,,Medium,Pressure relief valve replacement
WO-25047,EM-068,Electric Motor,Scheduled Inspection,In Progress,2025-08-02,2025-08-03,,Lisa Anderson,0.0,,,Medium,Seal leaking - parts ordered
WO-25785,RA-072,Robotic Arm,Emergency,Completed,2025-08-02,2025-08-04,2025-08-06,Jennifer Lee,0.0,3.4,,Low,Motor overheating - thermal relay replaced
WO-25468,G-023,Gearbox,Preventive,Completed,2025-08-02,2025-08-07,2025-08-07,John Martinez,0.0,4.8,,Medium,Quarterly PM - filters and oil change
WO-24966,HP-085,Hydraulic Pump,Preventive,Completed,2025-08-01,2025-08-05,2025-08-06,John Martinez,0.0,4.7,,Medium,Routine maintenance and inspection
WO-25554,C-027,Chiller,Corrective,In Progress,2025-08-01,2025-08-06,,John Martinez,18.8,,,Critical,Belt tracking issue - alignment needed
WO-25366,CB-017,Conveyor Belt,Corrective,Completed,2025-08-01,2025-08-04,2025-08-05,David Kim,19.6,28.1,,High,Main drive bearing failure - emergency repair
WO-24634,HS-022,HVAC System,Corrective,In Progress,2025-08-01,2025-08-05,,Jennifer Lee,11.7,,,High,Belt tracking issue - alignment needed
